year,origin,destination,male-germans,female-germans,all-germans,male-foreigners,female-foreigners,all-foreigners,all-males,all-females,all
2000,Brandenburg,Rheinland-Pfalz,603,589,1192,86,29,115,689,618,1307
2000,Brandenburg,Baden-Wuerttemberg,2432,2375,4807,204,142,346,2636,2517,5153
2000,Brandenburg,Bayern,2543,2488,5031,224,127,351,2767,2615,5382
2000,Brandenburg,Saarland,63,58,121,2,6,8,65,64,129
2000,Brandenburg,Berlin,9430,10182,19612,1199,755,1954,10629,10937,21566
2000,Brandenburg,Brandenburg,0,0,0,0,0,0,0,0,0
2000,Brandenburg,Mecklenburg-Vorpommern,1320,1446,2766,57,35,92,1377,1481,2858
2000,Brandenburg,Sachsen,1849,1886,3735,119,106,225,1968,1992,3960
2000,Brandenburg,Sachsen-Anhalt,955,998,1953,78,44,122,1033,1042,2075
2000,Brandenburg,Thueringen,470,418,888,18,13,31,488,431,919
2000,Brandenburg,Insgesamt,26438,27576,54014,2453,1576,4029,28891,29152,58043
2000,Mecklenburg-Vorpommern,Schleswig-Holstein,3267,3353,6620,120,100,220,3387,3453,6840
2000,Mecklenburg-Vorpommern,Hamburg,2060,2334,4394,261,145,406,2321,2479,4800
2000,Mecklenburg-Vorpommern,Niedersachsen,2491,2558,5049,227,144,371,2718,2702,5420
2000,Mecklenburg-Vorpommern,Bremen,268,240,508,29,21,50,297,261,558
2000,Mecklenburg-Vorpommern,Nordrhein-Westfalen,1433,1543,2976,229,147,376,1662,1690,3352
2000,Mecklenburg-Vorpommern,Hessen,483,495,978,79,43,122,562,538,1100
2000,Mecklenburg-Vorpommern,Rheinland-Pfalz,300,340,640,24,19,43,324,359,683
2000,Mecklenburg-Vorpommern,Baden-Wuerttemberg,1070,1025,2095,118,93,211,1188,1118,2306
2000,Mecklenburg-Vorpommern,Bayern,1027,990,2017,121,78,199,1148,1068,2216
2000,Mecklenburg-Vorpommern,Saarland,40,43,83,3,2,5,43,45,88
2000,Mecklenburg-Vorpommern,Berlin,1538,1718,3256,210,127,337,1748,1845,3593
2000,Mecklenburg-Vorpommern,Brandenburg,1208,1251,2459,57,34,91,1265,1285,2550
2000,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,0,0,0,0,0,0,0,0,0
2000,Mecklenburg-Vorpommern,Sachsen,591,612,1203,45,29,74,636,641,1277
2000,Mecklenburg-Vorpommern,Sachsen-Anhalt,374,369,743,29,21,50,403,390,793
2000,Mecklenburg-Vorpommern,Thueringen,253,267,520,9,5,14,262,272,534
2000,Mecklenburg-Vorpommern,Insgesamt,16403,17138,33541,1561,1008,2569,17964,18146,36110
